Freq[Hz]     dBSPL  Phase[Deg]
177.019     39.825     0.000
179.594     39.825     0.000
182.206     39.825     0.000
184.856     39.825     0.000
187.545     39.825     0.000
190.273     39.825     0.000
193.041     39.825     0.000
195.849     39.825     0.000
198.697     39.825     0.000
201.587     39.825     0.000
204.520     39.825     0.000
207.494     39.825     0.000
210.512     39.825     0.000
213.574     39.825     0.000
216.681     39.825     0.000
219.833     39.825     0.000
223.030     39.825     0.000
226.274     39.825     0.000
229.565     39.825     0.000
232.905     39.825     0.000
236.292     39.825     0.000
239.729     39.825     0.000
243.216     39.825     0.000
246.754     39.825     0.000
250.343     39.825     0.000
253.984     39.825     0.000
257.678     39.825     0.000
261.426     39.825     0.000
265.229     39.825     0.000
269.087     39.825     0.000
273.001     39.825     0.000
276.972     39.825     0.000
281.000     39.825     0.000
285.088     39.825     0.000
289.234     39.825     0.000
293.441     39.825     0.000
297.709     39.825     0.000
302.040     39.825     0.000
306.433     39.825     0.000
310.890     39.825     0.000
315.412     39.825     0.000
320.000     39.825     0.000
324.655     39.825     0.000
329.377     39.825     0.000
334.168     39.825     0.000
339.028     39.825     0.000
343.959     39.825     0.000
348.962     39.825     0.000
354.038     39.825     0.000
359.188     39.825     0.000
364.412     39.825     0.000
369.713     39.825     0.000
375.090     39.825     0.000
380.546     39.825     0.000
386.081     39.825     0.000
391.697     39.825     0.000
397.394     39.825     0.000
403.175     39.825     0.000
409.039     39.825     0.000
414.989     39.825     0.000
421.025     39.825     0.000
427.149     39.825     0.000
433.362     39.825     0.000
439.665     39.825     0.000
446.060     39.825     0.000
452.548     39.825     0.000
459.131     39.825     0.000
465.809     39.825     0.000
472.584     39.825     0.000
479.458     39.825     0.000
486.432     39.825     0.000
493.507     39.825     0.000
500.686     39.825     0.000
507.968     39.825     0.000
515.357     39.825     0.000
522.853     39.825     0.000
530.458     39.825     0.000
538.174     39.825     0.000
546.002     39.825     0.000
553.943     39.825     0.000
562.001     39.825     0.000
570.175     39.825     0.000
578.469     39.825     0.000
586.883     39.825     0.000
595.419     39.825     0.000
604.080     39.825     0.000
612.866     39.825     0.000
621.780     39.825     0.000
630.824     39.825     0.000
640.000     39.825     0.000
649.309     39.825     0.000
658.753     39.825     0.000
668.335     39.825     0.000
678.056     39.825     0.000
687.919     39.825     0.000
697.925     39.825     0.000
708.077     39.825     0.000
718.376     39.825     0.000
728.825     39.825     0.000
739.426     39.825     0.000
750.181     39.825     0.000
761.093     39.825     0.000
772.163     39.825     0.000
783.394     39.825     0.000
794.789     39.825     0.000
806.349     39.825     0.000
818.078     39.825     0.000
829.977     39.825     0.000
842.050     39.825     0.000
854.298     39.825     0.000
866.724     39.825     0.000
879.330     39.825     0.000
892.120     39.825     0.000
905.097     39.825     0.000
918.262     39.825     0.000
931.618     39.825     0.000
945.169     39.825     0.000
958.917     39.825     0.000
972.864     39.825     0.000
987.015     39.825     0.000
1001.37     39.825     0.000
1015.94     39.825     0.000
1030.71     39.825     0.000
1045.71     39.825     0.000
1060.92     39.825     0.000
1076.35     39.825     0.000
1092.00     39.825     0.000
1107.89     39.825     0.000
1124.00     39.825     0.000
1140.35     39.825     0.000
1156.94     39.825     0.000
1173.77     39.825     0.000
1190.84     39.825     0.000
1208.16     39.825     0.000
1225.73     39.825     0.000
1243.56     39.825     0.000
1261.65     39.825     0.000
1280.00     39.825     0.000
1298.62     39.825     0.000
1317.51     39.825     0.000
1336.67     39.825     0.000
1356.11     39.825     0.000
1375.84     39.825     0.000
1395.85     39.825     0.000
1416.15     39.825     0.000
1436.75     39.825     0.000
1457.65     39.825     0.000
1478.85     39.825     0.000
1500.36     39.825     0.000
1522.19     39.825     0.000
1544.33     39.825     0.000
1566.79     39.825     0.000
1589.58     39.825     0.000
1612.70     39.825     0.000
1636.16     39.825     0.000
1659.95     39.825     0.000
1684.10     39.825     0.000
1708.60     39.825     0.000
1733.45     39.825     0.000
1758.66     39.825     0.000
1784.24     39.825     0.000
1810.19     39.825     0.000
1836.52     39.825     0.000
1863.24     39.825     0.000
1890.34     39.825     0.000
1917.83     39.825     0.000
1945.73     39.825     0.000
1974.03     39.825     0.000
2002.74     39.825     0.000
2031.87     39.825     0.000
2061.43     39.825     0.000
2091.41     39.825     0.000
2121.83     39.825     0.000
2152.69     39.825     0.000
2184.01     39.825     0.000
2215.77     39.825     0.000
2248.00     39.825     0.000
2280.70     39.825     0.000
2313.87     39.825     0.000
2347.53     39.825     0.000
2381.68     39.825     0.000
2416.32     39.825     0.000
2451.46     39.825     0.000
2487.12     39.825     0.000
2523.30     39.825     0.000
2560.00     39.825     0.000
2597.24     39.825     0.000
2635.01     39.825     0.000
2673.34     39.825     0.000
2712.23     39.825     0.000
2751.68     39.825     0.000
2791.70     39.825     0.000
2832.31     39.825     0.000
2873.50     39.825     0.000
2915.30     39.825     0.000
2957.70     39.825     0.000
3000.72     39.825     0.000
3044.37     39.825     0.000
3088.65     39.825     0.000
3133.58     39.825     0.000
3179.16     39.825     0.000
3225.40     39.825     0.000
3272.31     39.825     0.000
3319.91     39.825     0.000
3368.20     39.825     0.000
3417.19     39.825     0.000
3466.89     39.825     0.000
3517.32     39.825     0.000
3568.48     39.825     0.000
3620.39     39.825     0.000
3673.05     39.825     0.000
3726.47     39.825     0.000
3780.67     39.825     0.000
3835.67     39.825     0.000
3891.46     39.825     0.000
3948.06     39.825     0.000
4005.49     39.825     0.000
4063.75     39.825     0.000
4122.86     39.825     0.000
4182.82     39.825     0.000
4243.66     39.825     0.000
4305.39     39.825     0.000
4368.01     39.825     0.000
4431.55     39.825     0.000
4496.01     39.825     0.000
4561.40     39.825     0.000
4627.75     39.825     0.000
4695.06     39.825     0.000
4763.35     39.825     0.000
4832.64     39.825     0.000
4902.93     39.825     0.000
4974.24     39.825     0.000
5046.60     39.825     0.000
5120.00     39.825     0.000
5194.47     39.825     0.000
5270.03     39.825     0.000
5346.68     39.825     0.000
5424.45     39.825     0.000
5503.35     39.825     0.000
5583.40     39.825     0.000
5664.61     39.825     0.000
5747.01     39.825     0.000
5830.60     39.825     0.000
5915.41     39.825     0.000
6001.45     39.825     0.000
6088.74     39.825     0.000
6177.30     39.825     0.000
6267.15     39.825     0.000
6358.31     39.825     0.000
6450.80     39.825     0.000
6544.62     39.825     0.000
6639.82     39.825     0.000
6736.40     39.825     0.000
6834.38     39.825     0.000
6933.79     39.825     0.000
7034.64     39.825     0.000
7136.96     39.825     0.000
7240.77     39.825     0.000
7346.09     39.825     0.000
7452.94     39.825     0.000
7561.35     39.825     0.000
7671.33     39.825     0.000
7782.91     39.825     0.000
7896.12     39.825     0.000
8010.97     39.825     0.000
8127.49     39.825     0.000
8245.71     39.825     0.000
8365.65     39.825     0.000
8487.33     39.825     0.000
8610.78     39.825     0.000
8736.03     39.825     0.000
8863.09     39.825     0.000
8992.01     39.825     0.000
9122.80     39.825     0.000
9255.50     39.825     0.000
9390.12     39.825     0.000
9526.70     39.825     0.000
9665.27     39.825     0.000
9805.86     39.825     0.000
9948.49     39.825     0.000
