Freq[Hz]     dBSPL  Phase[Deg]
134.543     59.085   -22.608
136.500     59.009   -22.326
138.486     58.930   -22.009
140.500     58.854   -21.648
142.544     58.785   -21.252
144.617     58.721   -20.836
146.721     58.662   -20.404
148.855     58.608   -19.955
151.020     58.559   -19.502
153.217     58.515   -19.052
155.445     58.476   -18.604
157.706     58.445   -18.169
160.000     58.413   -17.751
162.327     58.383   -17.345
164.688     58.351   -16.944
167.084     58.321   -16.544
169.514     58.291   -16.140
171.980     58.267   -15.737
174.481     58.244   -15.338
177.019     58.222   -14.940
179.594     58.205   -14.553
182.206     58.189   -14.184
184.856     58.174   -13.822
187.545     58.159   -13.468
190.273     58.143   -13.123
193.041     58.128   -12.786
195.849     58.113   -12.446
198.697     58.097   -12.099
201.587     58.082   -11.751
204.520     58.067   -11.404
207.494     58.060   -11.060
210.512     58.058   -10.735
213.574     58.053   -10.429
216.681     58.042   -10.128
219.833     58.027    -9.820
223.030     58.012    -9.498
226.274     58.002    -9.163
229.565     57.998    -8.824
232.905     57.997    -8.494
236.292     57.997    -8.179
239.729     57.997    -7.877
243.216     57.997    -7.586
246.754     57.997    -7.302
250.343     57.997    -7.025
253.984     57.997    -6.753
257.678     57.997    -6.486
261.426     57.997    -6.223
265.229     57.997    -5.963
269.087     57.997    -5.707
273.001     57.997    -5.452
276.972     57.997    -5.201
281.000     57.997    -4.951
285.088     57.997    -4.702
289.234     57.997    -4.454
293.441     57.997    -4.208
297.709     57.997    -3.961
302.040     57.997    -3.714
306.433     57.997    -3.465
310.890     57.997    -3.215
315.412     57.997    -2.960
320.000     57.997    -2.698
324.655     57.997    -2.427
329.377     57.998    -2.148
334.168     58.006    -1.870
339.028     58.020    -1.612
343.959     58.035    -1.376
348.962     58.050    -1.161
354.038     58.057    -0.962
359.188     58.058    -0.757
364.412     58.059    -0.534
369.713     58.060    -0.293
375.090     58.067    -0.044
380.546     58.082     0.192
386.081     58.097     0.412
391.697     58.111     0.616
397.394     58.119     0.812
403.175     58.121     1.018
